Cluster,Quantidade,Representatividade (%),Ticket Médio
1 pedido,1095,61.1731843575419,123.04593607305935
2 pedidos,265,14.804469273743019,122.14583018867924
3 pedidos,117,6.5363128491620115,121.16638176638175
4 pedidos,73,4.078212290502793,116.0061301369863
5 ou mais pedidos,240,13.40782122905028,126.01416464050018
